timestamp,action,latency,args
2024-04-09 14:53:17,Func:'load_index',0.00014552s,shards/idxs/embeds_centroids.index
2024-04-09 14:53:17,Func:'query_index',0.00057605s,nan
2024-04-09 14:53:17,Func:'load_index',0.04462536s,shards/idxs/embeds_53.index
2024-04-09 14:53:17,Func:'query_index',0.00014160s,nan
2024-04-09 14:53:17,Func:'load_index',0.04117227s,shards/idxs/embeds_25.index
2024-04-09 14:53:17,Func:'query_index',0.00119390s,nan
2024-04-09 14:53:17,Func:'load_index',0.01722086s,shards/idxs/embeds_9.index
2024-04-09 14:53:17,Func:'query_index',0.00038409s,nan
2024-04-09 14:53:17,Func:'load_index',0.01696639s,shards/idxs/embeds_80.index
2024-04-09 14:53:17,Func:'query_index',0.00010616s,nan
2024-04-09 14:53:17,Func:'load_index',0.01631548s,shards/idxs/embeds_52.index
2024-04-09 14:53:17,Func:'query_index',0.00008525s,nan
2024-04-09 14:53:17,Func:'load_index',0.01616735s,shards/idxs/embeds_54.index
2024-04-09 14:53:17,Func:'query_index',0.00101001s,nan
2024-04-09 14:53:17,Func:'load_index',0.01638233s,shards/idxs/embeds_99.index
2024-04-09 14:53:17,Func:'query_index',0.00009312s,nan
2024-04-09 14:53:17,Func:'load_index',0.01623584s,shards/idxs/embeds_2.index
2024-04-09 14:53:17,Func:'query_index',0.00012022s,nan
2024-04-09 14:53:17,Func:'load_index',0.01607953s,shards/idxs/embeds_41.index
2024-04-09 14:53:17,Func:'query_index',0.00034016s,nan
2024-04-09 14:53:17,Func:'load_index',0.01688474s,shards/idxs/embeds_58.index
2024-04-09 14:53:17,Func:'query_index',0.00034401s,nan
2024-04-09 14:53:17,Func:'load_index',0.01697404s,shards/idxs/embeds_35.index
2024-04-09 14:53:17,Func:'query_index',0.00174068s,nan
2024-04-09 14:53:17,Func:'load_index',0.01685466s,shards/idxs/embeds_49.index
2024-04-09 14:53:17,Func:'query_index',0.00051292s,nan
2024-04-09 14:53:17,Func:'load_index',0.01694546s,shards/idxs/embeds_47.index
2024-04-09 14:53:17,Func:'query_index',0.00034524s,nan
